"Evidence statement GUID","Study GUID"
"CG10ES27","CG10ST14"
"CG10ES27","CG10ST32"
"CG10ES28","CG10ST14"
"CG10ES28","CG10ST32"
"PH38ES1.1","PH38ST28"
"PH38ES1.1","PH38ST49"
"PH38ES1.2","PH38ST28"
"PH38ES1.2","PH38ST49"
"PH38ES1.3","PH38ST48"
"PH38ES1.3","PH38ST31"
"PH38ES1.4","PH38ST31"
"PH38ES1.5","PH38ST43"
"PH38ES1.5","PH38ST24"
"PH38ES1.5","PH38ST45"
"PH38ES1.5","PH38ST27"
"PH38ES1.6","PH38ST30"
"PH38ES1.6","PH38ST24"
"PH38ES1.6","PH38ST25"
"PH38ES1.6","PH38ST41"
"PH38ES1.7","PH38ST43"
"PH38ES1.10","PH38ST29"
"PH38ES1.10","PH38ST36"
"PH38ES1.11","PH38ST35"
"PH38ES1.11","PH38ST38"
"PH38ES1.11","PH38ST39"
"PH38ES1.11","PH38ST50"
"PH38ES1.13","PH38ST32"
"PH38ES1.13","PH38ST33"
"PH38ES1.13","PH38ST46"
"PH38ES1.13","PH38ST26"
"PH38ES1.13","PH38ST44"
"PH38ES1.13","PH38ST35"
"PH38ES1.13","PH38ST23"
"PH38ES1.14","PH38ST33"
"PH38ES1.14","PH38ST35"
"PH38ES1.14","PH38ST23"
"PH38ES1.15","PH38ST34"
"PH38ES1.15","PH38ST35"
"PH38ES1.15","PH38ST24"
"PH38ES1.15","PH38ST41"
"PH38ES1.15","PH38ST23"
"PH38ES1.15","PH38ST46"
"PH38ES1.18","PH38ST25"
"PH38ES1.18","PH38ST27"
"PH38ES1.18","PH38ST38"
"PH38ES1.18","PH38ST40"
"PH38ES1.18","PH38ST42"
"PH38ES1.18","PH38ST46"
"PH38ES1.18","PH38ST47"
"PH38ES1.18","PH38ST48"
"PH38ES1.18","PH38ST51"
"PH38ES1.19","PH38ST49"
"PH38ES1.19","PH38ST28"
"PH38ES2.1","PH38ST52"
"PH38ES2.1","PH38ST53"
"PH38ES2.1","PH38ST54"
"PH38ES2.1","PH38ST55"
"PH38ES2.1","PH38ST56"
"CG66ES2","CG66ST13"
"CG66ES3","CG66ST13"
"CG66ES4","CG66ST17"
"CG66ES5","CG66ST17"
"CG66ES6","CG66ST17"
"CG66ES7","CG66ST13"
"CG66ES8","CG66ST16"
"CG66ES9","CG66ST16"
"CG66ES10","CG66ST14"
"CG66ES11","CG66ST14"
"CG66ES12","CG66ST20"
"CG66ES13","CG66ST19"
"CG66ES14","CG66ST13"
"CG66ES15","CG66ST17"
"CG66ES16","CG66ST17"
"CG66ES17","CG66ST16"
"CG66ES18","CG66ST16"
"CG66ES19","CG66ST14"
"CG66ES19","CG66ST20"
"CG66ES20","CG66ST14"
